Index,Height(Inches),Weight(Pounds),Height(m),Weight(kg),IMT
67,69.05914,142.4684,1.7264785,64.6115192743764,21.6764223494241
68,67.73103,132.749,1.69327575,60.2036281179138,20.9974853509612
69,67.21568,103.5275,1.680392,46.9512471655329,16.627460405981
70,67.36763,124.7299,1.68419075,56.5668480725624,19.9424919222901
71,65.27033,129.3137,1.63175825,58.6456689342404,22.0254256527228
72,70.84278,134.0175,1.7710695,60.7789115646259,19.3767845489061
73,69.92442,140.3969,1.7481105,63.6720634920635,20.8358471084403
74,64.28508,102.8351,1.607127,46.6372335600907,18.0564506880598
75,68.2452,128.5214,1.70613,58.2863492063492,20.0236209250616
76,66.35708,120.2991,1.658927,54.5574149659864,19.8243626281299
77,68.36275,138.6036,1.70906875,62.8587755102041,21.5202271059798
78,65.4769,132.9574,1.6369225,60.2981405895692,22.5033763539348
79,69.71947,115.6233,1.74298675,52.4368707482993,17.2603101498247
80,67.72554,122.524,1.6931385,55.5664399092971,19.3832948666141
81,68.63941,134.6254,1.71598525,61.0546031746032,20.7343923319059
82,66.78405,121.8986,1.66960125,55.2828117913832,19.8319126806928
83,70.05147,155.3767,1.75128675,70.4656235827664,22.9753838461264
84,66.27848,128.9418,1.656962,58.4770068027211,21.2990404100168
85,69.20198,129.1013,1.7300495,58.5493424036281,19.5616265280904
86,69.13481,139.4733,1.72837025,63.2531972789116,21.1742929934342
87,67.36436,140.8901,1.684109,63.8957369614512,22.5284592116357
88,70.09297,131.5916,1.75232425,59.6787301587302,19.4352723772492
89,70.1766,121.1232,1.754415,54.931156462585,17.8465420092652
90,68.22556,131.5127,1.705639,59.642947845805,20.5014635204824
91,68.12932,136.5479,1.703233,61.926485260771,21.3465800218792
92,70.24256,141.4896,1.756064,64.167619047619,20.8082350707137
93,71.48752,140.6104,1.787188,63.7688888888889,19.9649565989177
94,69.20477,112.1413,1.73011925,50.8577324263039,16.9904513480275
95,70.06306,133.457,1.7515765,60.524716553288,19.7276132197149
96,70.55703,131.8001,1.76392575,59.7732879818594,19.2108484358819
97,66.28644,120.0285,1.657161,54.434693877551,19.8219500318573
98,63.42577,123.0972,1.58564425,55.8263945578231,22.2038388490143
99,66.76711,128.1432,1.66917775,58.1148299319728,20.8584386936593
100,68.88741,115.4759,1.72218525,52.370022675737,17.657248589857
101,64.87434,102.0927,1.6218585,46.3005442176871,17.601925286943
102,67.09272,130.353,1.677318,59.1170068027211,21.0126884630762
103,68.34761,134.1842,1.70869025,60.8545124716553,20.8432820243047
104,65.61073,98.64133,1.64026825,44.7352970521542,16.6272554278437
105,67.75551,114.5599,1.69388775,51.9546031746032,18.1073450514611
106,68.0212,123.4917,1.70053,56.005306122449,19.3669209310599
107,67.66193,123.048,1.69154825,55.8040816326531,19.5028097831174
108,66.3146,126.4772,1.657865,57.3592743764172,20.8691770033561
109,69.43706,128.417,1.7359265,58.2390022675737,19.3264131847409
110,63.83624,127.1941,1.595906,57.6843990929705,22.6487249599065
111,67.72277,122.0562,1.69306925,55.3542857142857,19.31086852523
112,70.05098,127.6064,1.7512745,57.8713832199546,18.8692837264477
113,70.18602,131.6423,1.7546505,59.7017233560091,19.3912416607382
114,65.94588,111.8955,1.648647,50.7462585034014,18.670187270793
115,70.007,122.039,1.750175,55.346485260771,18.0687077955566
116,68.61129,128.5547,1.71528225,58.3014512471655,19.815643412996
117,68.80817,132.6792,1.72020425,60.1719727891156,20.3345336975161
118,69.76212,136.0632,1.744053,61.7066666666667,20.2867617933008
119,65.45539,115.9403,1.63638475,52.5806349206349,19.6360884166741
120,68.82534,136.9041,1.7206335,62.0880272108843,20.9715781140597
121,65.8003,119.8804,1.6450075,54.3675283446712,20.0911050694371
122,67.21474,109.0055,1.6803685,49.4356009070295,17.5077668342641
123,69.42021,128.2705,1.73550525,58.1725623582766,19.3137377587668
124,68.94396,135.2913,1.723599,61.3565986394558,20.6532693622338
125,67.9415,106.8558,1.6985375,48.4606802721088,16.7972902664809
126,65.62506,123.2939,1.6406265,55.9156009070295,20.7736854891158
127,66.49607,109.5143,1.66240175,49.6663492063492,17.9717456282004
128,67.92809,119.3087,1.69820225,54.108253968254,18.7622403842515
129,68.89415,140.2402,1.72235375,63.6009977324263,21.4397254058705
130,70.241,133.9841,1.756025,60.7637641723356,19.7053104078454
131,68.26623,132.5807,1.70665575,60.1273015873016,20.6433348545971
132,71.23161,130.6988,1.78079025,59.2738321995465,18.6912121975172
133,69.09747,115.5637,1.72743675,52.4098412698413,17.563397683064
134,64.39693,123.7941,1.60992325,56.1424489795918,21.661124985193
135,71.09585,128.1427,1.77739625,58.1146031746032,18.3957186008025
136,68.21868,135.9646,1.705467,61.6619501133787,21.1997439078669
137,65.91721,116.6273,1.64793025,52.8921995464853,19.4766372643255
138,67.4369,126.8241,1.6859225,57.5165986394558,20.235688332196
139,73.90107,151.3913,1.84752675,68.6581859410431,20.1145746900615
140,69.98149,130.4022,1.74953725,59.1393197278911,19.3210149843037
141,69.51862,136.2068,1.7379655,61.7717913832199,20.4506866238192
142,65.18437,113.3989,1.62960925,51.4280725623583,19.3657038317183
143,68.00869,125.3287,1.70021725,56.8384126984127,19.6622450702704
144,68.3384,127.5846,1.70846,57.8614965986394,19.8234861742903
145,65.18417,107.1564,1.62960425,48.5970068027211,18.2997528214284
146,68.26209,116.4588,1.70655225,52.8157823129252,18.1352913685815
147,68.56865,133.8402,1.71421625,60.6985034013605,20.6560258166948
148,64.49675,112.8901,1.61241875,51.1973242630385,19.6920796868632
149,68.71053,130.7568,1.71776325,59.3001360544218,20.0969001822994
150,68.89148,137.7571,1.722287,62.4748752834467,21.0617450234452
151,69.54011,125.4036,1.73850275,56.872380952381,18.8170113256457
152,67.39964,138.4659,1.684991,62.7963265306122,22.1176544152996
153,66.47521,120.8184,1.66188025,54.792925170068,19.839240079894
154,66.01217,140.1539,1.65030425,63.5618594104308,23.3382644808292
155,72.44434,136.7397,1.8111085,62.0134693877551,18.9058884572203
156,64.12642,106.1139,1.6031605,48.1242176870748,18.7244760903846
157,70.98112,158.9562,1.774528,72.0889795918367,22.8930240961119
158,67.50124,108.7868,1.687531,49.3364172335601,17.3246348210016
159,72.01515,138.7758,1.80037875,62.9368707482993,19.4167880161946
160,65.31143,115.9136,1.63278575,52.5685260770975,19.7182059097382
161,67.07509,146.2922,1.67687725,66.3456689342404,23.5944594321142
162,64.39148,109.8765,1.609787,49.830612244898,19.2291191914589
163,69.37003,139.0499,1.73425075,63.061179138322,20.9670970346299
164,68.37921,119.9001,1.70948025,54.376462585034,18.6072749998643
165,65.31018,128.3069,1.6327545,58.1890702947846,21.8272810060121
166,67.1369,127.2428,1.6784225,57.706485260771,20.4843429339011
167,68.39468,115.2306,1.709867,52.2587755102041,17.8745274106766
168,66.2918,124.7975,1.657295,56.5975056689342,20.6061876985736
169,67.1866,126.9511,1.679665,57.5741950113379,20.4071580988877
170,65.99156,111.2711,1.649789,50.4630839002268,18.540309528859
171,69.43393,122.6089,1.73584825,55.6049433106576,18.4539734072021
172,67.97463,124.2084,1.69936575,56.3303401360544,19.5060193926739
173,67.76133,124.6453,1.69403325,56.5284807256236,19.6980598576632
174,65.27864,119.5169,1.631966,54.2026757369615,20.3515978876672
175,73.83364,139.2983,1.845841,63.1738321995465,18.5416613958442
176,66.81312,104.8265,1.670328,47.5403628117914,17.0395832673613
177,66.89411,123.0424,1.67235275,55.8015419501134,19.9521831402629
178,65.73568,118.8923,1.643392,53.919410430839,19.9647004232314
179,65.98283,121.4939,1.64957075,55.0992743764172,20.2490188748887
180,66.58396,119.2488,1.664599,54.0810884353741,19.5175888388679
181,67.11294,135.0239,1.6778235,61.2353287981859,21.7525165734856
182,65.87481,116.228,1.64687025,52.7111111111111,19.4349488676939
183,66.78067,109.1731,1.66951675,49.5116099773243,17.7633751276399
184,68.73577,124.2237,1.71839425,56.3372789115646,19.0787644049122
185,66.22666,141.1645,1.6556665,64.0201814058957,23.354532451122
186,65.95968,129.1501,1.648992,58.5714739229025,21.5401664817262
187,68.58372,127.8693,1.714593,57.990612244898,19.7258443176763
188,66.59347,120.9244,1.66483675,54.8409977324263,19.7861838125776
189,66.96574,127.6466,1.6741435,57.8896145124717,20.6545289852077
190,68.08015,101.4693,1.70200375,46.0178231292517,15.8856520319221
191,70.19025,144.9927,1.75475625,65.7563265306123,21.3552149683585
192,65.52149,110.9523,1.63803725,50.3185034013605,18.7534065331714
193,67.45905,132.8625,1.68647625,60.2551020408163,21.1852389656049
194,67.40985,146.3385,1.68524625,66.3666666666667,23.3680926822756
195,69.66158,145.5894,1.7415395,66.0269387755102,21.769803253279
196,65.79799,120.8431,1.64494975,54.804126984127,20.2538688124505
197,66.10558,115.7813,1.6526395,52.5085260770975,19.2253196957383
198,68.23987,128.3019,1.70599675,58.1868027210884,19.9925455904941
199,68.02403,127.4718,1.70060075,57.8103401360544,19.9894475694528
200,71.39044,127.8761,1.784761,57.9936961451247,18.2062563784086
201,65.7316,121.4997,1.64329,55.1019047619048,20.4050746037599
202,66.43358,112.7148,1.6608395,51.1178231292517,18.5317750824466
203,70.01309,135.002,1.75032725,61.2253968253968,19.984491411708
204,69.48146,128.6789,1.7370365,58.3577777777778,19.3410860588046
205,68.62764,124.4062,1.715691,56.4200453514739,19.1670503951308
206,68.36275,140.026,1.70906875,63.5038548752835,21.7410754175356
207,68.39028,117.519,1.709757,53.2965986394558,18.2318488845174
208,68.77413,143.8737,1.71935325,65.248843537415,22.0720459147475
209,69.9236,141.1703,1.74809,64.0228117913832,20.9511162683657
210,71.55542,155.9414,1.7888855,70.7217233560091,22.0997696693799
211,68.44764,134.0093,1.711191,60.7751927437642,20.7553169626834
212,66.71398,130.0975,1.6678495,59.0011337868481,21.2102915923049
213,66.68413,106.2265,1.66710325,48.175283446712,17.3340195585473
214,67.93699,112.0489,1.69842475,50.8158276643991,17.6159627702876
215,68.89855,136.1884,1.72246375,61.7634467120181,20.8176327288356
216,67.29191,131.236,1.68229775,59.5174603174603,21.0299704723769
217,69.57212,131.3231,1.739303,59.5569614512472,19.6871132783571
218,67.67479,119.5261,1.69186975,54.2068480725624,18.9373979037819
219,69.04155,116.9965,1.72603875,53.0596371882086,17.8099702091524
220,67.96765,138.5255,1.69919125,62.8233560090703,21.7588834833747
221,65.83982,109.6518,1.6459955,49.7287074829932,18.3548096238206
222,65.77288,130.1569,1.644322,59.0280725623583,21.8315649160929
223,71.14106,137.1114,1.7785265,62.1820408163265,19.6582244969891
224,67.83055,113.759,1.69576375,51.5913832199547,17.940993031874
225,65.0693,114.9725,1.6267325,52.1417233560091,19.7039408139274
226,69.70745,127.7149,1.74268625,57.920589569161,19.0719265152095
227,69.92983,121.9972,1.74824575,55.3275283446712,18.1024062524215
228,66.11569,117.9607,1.65289225,53.4969160997732,19.5812161073279
229,68.61364,127.7141,1.715341,57.9202267573696,19.684723414687
230,68.9976,117.9619,1.72494,53.4974603174603,17.9798133414307
231,66.79171,125.1554,1.66979275,56.7598185941043,20.3570974964891
232,68.02363,141.1026,1.70059075,63.9921088435374,22.1272171278533
233,69.67258,145.4822,1.7418145,65.9783219954649,21.7469052821387
234,71.82178,116.065,1.7955445,52.6371882086168,16.326772302592
235,72.74676,135.7458,1.818669,61.5627210884354,18.6127472216724
236,67.27951,132.9248,1.68198775,60.2833560090703,21.3084453370006
237,67.41015,115.6622,1.68525375,52.4545124716553,18.4693771805337
238,68.5315,114.3184,1.7132875,51.8450793650794,17.6622916168673
239,68.47126,148.952,1.7117815,67.5519274376417,23.0537239340786
240,68.51867,142.1878,1.71296675,64.4842630385488,21.9763657675537
241,63.72529,134.104,1.59313225,60.8181405895692,23.9623540011055
242,67.70483,141.8926,1.69262075,64.3503854875283,22.4611419032065
243,69.47115,138.7444,1.73677875,62.9226303854875,20.8601715586908
244,66.70198,134.449,1.6675495,60.9746031746032,21.927620868811
245,65.23126,117.0167,1.6307815,53.068798185941,19.9548147527927
246,69.89473,115.6752,1.74736825,52.4604081632653,17.1815675848462
247,69.83048,134.7905,1.745762,61.1294784580499,20.0576763174146
248,65.3979,120.5746,1.6349475,54.682358276644,20.4568901446288
249,68.32214,120.0835,1.7080535,54.4596371882086,18.6668829594844
250,65.93895,84.3598,1.64847375,38.2584126984127,14.0787104087152
251,70.09805,138.9394,1.75245125,63.0110657596372,20.5175232494608
252,66.05531,143.5245,1.65138275,65.0904761904762,23.8683260211336
253,68.23481,123.1347,1.70587025,55.8434013605442,19.1902164076485
254,65.21758,115.5261,1.6304395,52.3927891156463,19.7088889321679
255,69.16173,120.9844,1.72904325,54.86820861678,18.3530846478118
256,67.60064,120.6473,1.690016,54.7153287981859,19.1569947771451
257,67.28621,124.0352,1.68215525,56.25179138322,19.8794427697104
258,66.84323,117.2238,1.67108075,53.1627210884354,19.0376057626344
259,68.08281,127.9598,1.70207025,58.0316553287982,20.0313397508552
260,66.56991,116.7527,1.66424775,52.9490702947846,19.1171162909649
261,70.16973,121.9957,1.75424325,55.3268480725624,17.9786178510348
262,67.85113,123.9952,1.69627825,56.2336507936508,19.5434887258418
263,66.62309,108.855,1.66557725,49.3673469387755,17.7955013536027
264,63.68816,104.6574,1.592204,47.4636734693878,18.7225037522864
265,68.0356,132.248,1.70089,59.9764172335601,20.7313728989092
266,66.941,127.1834,1.673525,57.6795464852608,20.5947928532504
267,66.26292,125.1209,1.656573,56.7441723356009,20.6775989869405
268,70.7301,133.322,1.7682525,60.4634920634921,19.3376931537533
269,70.70844,122.3364,1.767711,55.4813605442177,17.7551593210686
270,73.26872,130.2636,1.831718,59.076462585034,17.607482122917
271,63.79021,116.7431,1.59475525,52.944716553288,20.8177863208749
272,67.84109,125.8534,1.69602725,57.0763718820862,19.8422404163327
273,67.78058,100.627,1.6945145,45.6358276643991,15.8933465260788
274,67.23901,118.4945,1.68097525,53.7390022675737,19.0180927339259
275,66.75701,137.1255,1.66892525,62.1884353741497,22.327282099495
276,69.03098,118.6991,1.7257745,53.83179138322,18.0746849925473
277,68.52652,124.1641,1.713163,56.3102494331066,19.1862491025399
278,64.65419,124.9442,1.61635475,56.6640362811791,21.6887308436286
279,65.14295,126.3889,1.62857375,57.3192290249433,21.6115282790496
280,66.74124,121.5255,1.668531,55.1136054421769,19.7965842700627
281,66.99923,133.2951,1.67498075,60.4512925170068,21.5469572799037
282,70.26611,127.4072,1.75665275,57.7810430839002,18.7246426339285
283,67.57666,125.08,1.6894165,56.7256235827664,19.8749395216813
284,66.30582,102.8114,1.6576455,46.626485260771,16.9687308545102
285,68.90702,134.2212,1.7226755,60.8712925170068,20.5118848168773
286,65.60543,100.9758,1.64013575,45.7940136054422,17.0235103374178
287,68.00189,145.8886,1.70004725,66.1626303854875,22.892371167803
288,69.93715,155.3046,1.74842875,70.432925170068,23.0398606112971
289,70.1459,138.7175,1.7536475,62.9104308390023,20.4568169264264
290,66.66364,116.2611,1.666591,52.7261224489796,18.9831277105015
291,69.40676,120.6087,1.735169,54.6978231292517,18.1671366281415
292,66.80598,114.4083,1.6701495,51.8858503401361,18.601083525892
293,67.70048,133.3406,1.692512,60.4719274376417,21.1101003662696
294,69.13438,92.74955,1.7283595,42.0632879818594,14.0810504725813
295,67.53769,131.7825,1.68844225,59.765306122449,20.9641243141824
296,65.77912,118.3865,1.644478,53.690022675737,19.8535169848655
297,66.25769,131.1466,1.65644225,59.4769160997732,21.6768335857811
298,67.39038,130.2033,1.6847595,59.0491156462585,20.8035556931246
299,64.94327,129.1836,1.62358175,58.5866666666667,22.2254451062221
300,69.25699,143.1445,1.73142475,64.9181405895692,21.6550319850807
301,69.07739,138.7307,1.72693475,62.9164172335601,21.0965833876473
302,69.64403,130.9528,1.74110075,59.3890249433107,19.591080531369
303,69.07705,124.3032,1.72692625,56.3733333333333,18.9027997340355
304,68.01304,135.3702,1.700326,61.392380952381,21.2348934047653
305,68.85664,124.1988,1.721416,56.3259863945578,19.0080311662584
306,63.19158,111.2389,1.5797895,50.4484807256236,20.2138782636937
307,65.57591,129.4037,1.63939775,58.686485260771,21.8358162460983
308,69.12101,127.7444,1.72802525,57.9339682539683,19.4014017481931
309,69.78765,121.3311,1.74469125,55.0254421768707,18.0770007142173
310,67.48203,118.2183,1.68705075,53.6137414965986,18.8373506243799
311,69.08809,123.3441,1.72720225,55.9383673469388,18.7509552118424
312,68.5529,151.9118,1.7138225,68.8942403628118,23.4558532337926
313,68.21327,115.3108,1.70533175,52.2951473922902,17.9822336225955
314,67.1012,122.3844,1.67753,55.5031292517007,19.7231772659204
315,71.23661,129.2323,1.78091525,58.6087528344671,18.4788940031178
316,69.11946,138.2824,1.7279865,62.7131065759637,21.0028206714226
317,65.49848,144.0565,1.637462,65.331746031746,24.3658633704826
318,66.58706,120.8482,1.6646765,54.8064399092971,19.7775228471388
319,67.99831,113.3034,1.69995775,51.3847619047619,17.7810782439139
320,72.57747,149.3227,1.81443675,67.7200453514739,20.5699659636561
321,67.97585,130.6373,1.69939625,59.2459410430839,20.5148946419005
322,66.62347,122.387,1.66558675,55.5043083900227,20.0074703012512
323,67.29574,133.8677,1.6823935,60.7109750566893,21.4492467061537
324,65.95951,134.8336,1.64898775,61.1490249433106,22.4881990976113
325,66.54011,137.8363,1.66350275,62.5107936507936,22.5895701284192
326,68.07723,112.6812,1.70193075,51.1025850340136,17.6424582930616
327,65.83291,121.1964,1.64582275,54.9643537414966,20.2915397685178
328,69.23721,114.9262,1.73093025,52.1207256235828,17.3960768571981
329,64.69413,110.3762,1.61735325,50.0572335600907,19.1362604528835
330,69.21372,126.0337,1.730343,57.1581405895692,19.090341243753
331,67.16792,118.7008,1.679198,53.8325623582766,19.0915520357199
332,67.8467,119.3108,1.6961675,54.1092063492063,18.8076133938587
333,69.27389,150.7397,1.73184725,68.3626757369614,22.7929156942054
334,67.90547,121.1142,1.69763675,54.927074829932,19.0588606523953
335,67.076,118.4065,???.69,53.6990929705215,19.0964491453882
336,70.01531,142.759,1.75038275,64.7433106575964,21.1314283664223
337,70.05454,145.6305,1.7513635,66.0455782312925,21.5323364920839
338,70.86714,127.3425,1.7716785,57.7517006802721,18.3990308742621
339,66.0586,115.9678,1.651465,52.5931065759637,19.2836871270584
340,65.23745,104.4441,1.63093625,47.3669387755102,17.8074341378538
341,68.7413,138.4905,1.7185325,62.8074829931973,21.2664936140039
342,69.51946,145.5049,1.7379865,65.9886167800453,21.84621621469
343,70.30764,124.4065,1.757691,56.4201814058957,18.2620454881263
344,67.29982,124.1866,1.6824955,56.3204535147392,19.8956586252934
345,67.60582,126.1659,1.6901455,57.2180952380952,20.0301964790184
346,67.85566,138.8125,1.6963915,62.953514739229,21.8759945590289
347,66.46536,121.5515,1.661634,55.1253968253968,19.9655366808184
348,68.92071,114.2555,1.72301775,51.8165532879819,17.4537607498111
349,68.46886,129.4022,1.7117215,58.6858049886621,20.0293499646521
350,69.5193,137.5583,1.7379825,62.384716553288,20.6532027214344
351,70.23956,134.4996,1.755989,60.9975510204082,19.7819371117474
352,67.85651,127.7103,1.69641275,57.9185034013605,20.1258520373185
353,68.00435,115.6709,1.70010875,52.4584580498866,18.1493934591731
354,67.13983,131.5906,1.67849575,59.6782766439909,21.1824300757326
355,68.09931,127.5839,1.70248275,57.861179138322,19.962817631816
356,68.99077,125.7211,1.72476925,57.0163718820862,19.1662688976798
357,69.32618,119.9885,1.7331545,54.4165532879819,18.1157563998501
358,70.09286,140.8676,1.7523215,63.8855328798186,20.805345996641
359,68.74304,136.9164,1.718576,62.0936054421769,21.0237117103958
360,64.18633,118.4759,1.60465825,53.730566893424,20.8668222262888
361,66.09074,129.5516,1.6522685,58.7535600907029,21.521519986879
362,69.24418,152.0714,1.7311045,68.9666213151928,23.0140143583411
363,69.66512,120.8646,1.741628,54.8138775510204,18.0708977636333
364,68.42721,136.1027,1.71068025,61.7245804988662,21.0921312009162
365,68.28613,130.0611,1.70715325,58.9846258503401,20.2392218351819
366,69.37684,131.7743,1.734421,59.7615873015873,19.8661210578777
367,68.35315,139.38,1.70882875,63.2108843537415,21.6468537049784
368,72.32489,168.229,1.80812225,76.2943310657596,23.3365519808016
369,70.37159,127.6446,1.75928975,57.8887074829932,18.7033373862773
370,65.72927,131.8008,1.64323175,59.7736054421769,22.1366458570889
371,66.49627,122.8561,1.66240675,55.717052154195,20.1610684313757
372,70.81339,140.2133,1.77033475,63.588798185941,20.2894291660933
373,67.37579,142.6929,1.68439475,64.7133333333333,22.808987769218
374,67.79709,137.4299,1.69492725,62.326485260771,21.6955424177847
375,68.1607,126.0392,1.7040175,57.1606349206349,19.6856129958807
376,68.85782,143.5985,1.7214455,65.1240362811791,21.97630906098
377,67.71342,122.62,1.6928355,55.609977324263,19.4054269408335
378,64.66007,108.6044,1.61650175,49.2536961451247,18.8489198883002
379,65.73721,100.6617,1.64343025,45.6515646258503,16.9025844154592
380,68.42441,116.1397,1.71061025,52.6710657596372,17.9998947662576
381,68.88946,140.5293,1.7222365,63.7321088435374,21.4868479630088
382,68.27367,125.6907,1.70684175,57.0025850340136,19.5662697430513
383,69.18045,134.3329,1.72951125,60.9219501133787,20.3669976841154
384,72.60996,136.4649,1.815249,61.888843537415,18.7819186485769
385,66.04157,127.8822,1.65103925,57.996462585034,21.2758396995844
386,69.2288,123.1361,1.73072,55.8440362811791,18.6433166447454
387,68.87697,116.3375,1.72192425,52.7607709750567,17.7943876964894
388,66.46042,124.5581,1.6615105,56.4889342403628,20.4624297186727
389,69.30444,125.7853,1.732611,57.0454875283447,19.0028684306579
390,67.58249,107.5905,1.68956225,48.7938775510204,17.0929466454169
391,69.41816,143.0236,1.735454,64.8633106575964,21.5363895460435
392,67.46867,118.7434,1.68671675,53.8518820861678,18.9285161841102
393,66.44873,118.9856,1.66121825,53.9617233560091,19.553856511459
394,68.76185,131.8744,1.71904625,59.8069841269841,20.2384281964538
395,63.76881,119.3691,1.59422025,54.1356462585034,21.3003472232434
396,69.03663,126.1223,1.72591575,57.1983219954649,19.2018956098034
397,66.48966,126.6122,1.6622415,57.4204988662132,20.7815874766906
398,66.74224,113.5597,1.668556,51.5009977324263,18.4983958492597
399,67.69394,115.8413,1.6923485,52.5357369614512,18.3432053186454
400,66.69066,130.2738,1.6672665,59.0810884353741,21.2538905333546
401,67.02877,125.4542,1.67571925,56.8953287981859,20.261616646699
402,65.91096,117.1655,1.647774,53.1362811791383,19.57022706378
403,70.0304,137.3184,1.75076,62.2759183673469,20.3173428571591
404,69.26978,149.4447,1.7317445,67.7753741496599,22.599784073477
405,70.07695,151.0695,1.75192375,68.5122448979592,22.3222412561101
406,64.90942,116.9994,1.6227355,53.0609523809524,20.1502095289119
407,69.68744,138.1787,1.742186,62.6660770975057,20.6463587675957
408,67.56524,127.621,1.689131,57.8780045351474,20.2855545509001
409,63.85529,120.7514,1.59638225,54.7625396825397,21.4886830555393
410,71.6189,144.2537,1.7904725,65.421179138322,20.4071829256306
411,64.98993,105.7939,1.62474825,47.9790929705215,18.1752284263456
412,64.60759,120.1567,1.61518975,54.4928344671202,20.887780674956
413,62.01666,109.0848,1.5504165,49.4715646258503,20.5806403171425
414,65.28516,125.971,1.632129,57.1297052154195,21.4463317713818
415,67.70163,110.2325,1.69254075,49.9920634920635,17.4510995482204
416,70.85794,134.4706,1.7714485,60.9843990929705,19.433977116221
417,68.17075,115.5067,1.70426875,52.3839909297052,18.0352605619791
