Address,Price,Description,Place,Beds,Bath,Sq.Ft,Website
45 Falshire Terrace NE,299900,CA  AB T3J3B4,Falconridge,3,1.5,1001,First Place Realty
56 Prestwick Ave SE,495000,CA  AB T2Z 3W8,Mckenzie Towne,3,1.5,1122,RE/MAX Realty Professionals
155 Skyview Ranch Way NE #4105,309900,CA  AB T3N 0L4,Skyview Ranch,2,2,835,Exp Realty
22 Aspen Acres Rd SW,1097000,CA  AB T3H 0W6,Aspen Woods,3,2.5,2524,RE/MAX Realty Professionals
10632 Mapleglen Crescent SE,999900,CA  AB T2J 1X2,Maple Ridge,5,4.5,1557,Real Broker
2303 16A St SW,849000,CA  AB T2T 4K3,Bankview,5,2,1086,Century 21 Bravo Realty
989 Mahogany Blvd SE,595000,CA  AB T3M 2W7,Mahogany,4,3.5,1382,Exa Realty
225 Magnolia Way SE,639900,CA  AB T3m 2b6,Mahogany,6,5,1762,RE/MAX Irealty Innovations
2710 Dovely Park SE,270000,CA  AB T2B 3G8,Dover,2,1,758,Real Broker
1107 Gladstone Rd NW #503,828345,CA  AB T2M3T1,Hillhurst,2,2,1094,Bode Platform Inc.
355 Covewood Park NE,575000,CA  AB T3K 4T1,Coventry Hills,4,2.5,1306,D Gees Realty Inc.
1616 50 Ave SW,825000,CA  AB T2T 2V9,Altadore,4,2,1282,RE/MAX Landan Real Estate
1712 38 St SE #102,169900,CA  AB T2A 1H1,Forest Lawn,2,1,751,RE/MAX Realty Professionals
1012 18 St NE,624800,CA  AB T2E 4V7,Mayland Heights,4,2,998,Century 21 Bamber Realty Ltd.
12 Taralake Park NE,579000,CA  AB T3J0A4,Taradale,4,2.5,1238,Streetwise Realty
915 18 Ave NW,525000,CA  AB T2M 0V5,Mount Pleasant,3,1,982,Real Broker
16 Johnson Place SW,1325000,CA  AB T3E 7S2,Garrison Green,4,3.5,2636,Cir Realty
412 28 Ave NE,849000,CA  AB T2E 2B5,Winston Heights/Mountview,4,2,1096,RE/MAX House Of Real Estate
137 Erin Meadow Bay SE,429900,CA  AB T2B 3A2,Erin Woods,3,2,905,Royal Lepage Benchmark
4531 7 Ave SE #27,199900,CA  AB T2A 5E4,Forest Glen Gardens,3,1.5,996,RE/MAX House Of Real Estate
20 Shawbrooke Ct SW,384900,CA  AB T2Y 3G2,Shawnessy West,3,1.5,1027,Exp Realty
105 Aspen Ridge Heights SW,4899000,CA  AB T3H 1V2,Aspen Woods,6,6.5,5048,Exp Realty
712 4 St NE #25,229900,CA  AB T2E 3S8,Renfrew,2,1,817,Maxwell Capital Realty
225 Redstone #203,364900,CA  AB T3N 1M6,Redstone,2,2.5,1016,Real Broker
1403 18A St NE,449900,CA  AB T2E 4W7,Mayland Heights,4,3,1020,RE/MAX Real Estate (Central)
2218 25 St SW,1149900,CA  AB T3E 1X4,Richmond,5,3.5,1871,RE/MAX House Of Real Estate
5848 Bow Crescent NW,3100000,CA  AB T3B 2B7,Bowness,6,4.5,4231,RE/MAX Realty Professionals
647 Skyview Ranch Grove NE,374900,CA  AB T3R 0R7,Skyview Ranch,2,2.5,1278,Cir Realty
10 Discovery Ridge Close SW #412,539000,CA  AB T3H 5X3,Discovery Ridge,2,2,1379,Century 21 Powerrealty.Ca
1730 5A St SW #409,724900,CA  AB T2S 2E9,Cliff Bungalow,2,2.5,1446,RE/MAX Irealty Innovations
2713 4 Ave NW,898898,CA  AB T2N 0P9,West Hillhurst,3,2,1007,Real Broker
99 Copperstone Park SE #3415,299900,CA  AB T2Z 5C9,Copperfield,2,2,803,Royal Lepage Mission Real Estate
222 Riverfront Ave SW #414,469000,CA  AB T2P 0X2,Chinatown,1,1,700,Grand Realty
224 Christie Park Manor SW,883900,CA  AB T3H 2T6,Christie Park,3,2.5,1384,Coldwell Banker Mountain Central
11 Bedford Circle NE,539000,CA  AB T3K1K9,Beddington Heights,5,3,1791,Ymk Real Estate & Management Inc.
77 Spruce Place SW #2607,539800,CA  AB T3C3X6,Spruce Cliff,2,2,1148,RE/MAX Complete Realty
113 Edgebrook Grove NW,939900,CA  AB T3A 5V1,Edgemont,6,4,2638,Grand Realty
307 Lucas Blvd NW,649900,CA  AB T3P 1X2,Livingston,4,3,1759,Century 21 Bravo Realty
2211 19 St NE #367,269000,CA  AB T2E 4Y5,Vista Heights,3,1,1011,Diamond Realty & Associates Ltd.
215 Millview Green SW,369800,CA  AB T2Y 3W1,Millgreen Village,3,1.5,1052,RE/MAX Landan Real Estate
250 Sage Valley Rd NW #310,319900,CA  AB T3R 0R6,Sage Hill,2,1,764,Listed by Jacqueline Ulch
1010 Arbour Lake Rd NW #1306,363900,CA  AB T3G 4Y8,Arbour Lake,2,2,985,RE/MAX Real Estate (Mountain View)
64 Timberline Way SW,1239900,CA  AB T3H 6C8,Springbank Hill,3,3.5,2604,RE/MAX Real Estate (Central)
19 Walcrest Manor SE,699900,CA  AB T2X 4L9,Walden,3,2.5,1948,RE/MAX Real Estate (Central)
115 Storybook Terrace NW,239900,CA  AB T3G 1Y5,Storybook Village,2,1,446,2% Realty
288 Walcrest Way SE,729900,CA  AB T2X 4L9,Walden,3,2.5,2105,RE/MAX Real Estate (Central)
310 12 Ave SW #2604,279900,CA  AB T2R 1B5,Beltline,1,1,445,RE/MAX Realty Professionals
35 Oakmount Ct SW #10,649900,CA  AB T2V 4Y3,Oakridge,3,2.5,2426,RE/MAX House Of Real Estate
1025 5 Ave SW #1804,578000,CA  AB T2P 1N4,Downtown West End,2,2,823,Sotheby's International Realty Canada
137 Red Embers Link NE #133,424900,CA  AB T3N 2G3,Redstone,3,2.5,1161,Maxwell Central
329 Silverado Way SW,570000,CA  AB T2X 0H7,Silverado,3,2.5,1687,Cir Realty
1502 10 Ave NW,969900,CA  AB T2N 1E9,Hounsfield Heights/Briar Hill,4,3,1601,Real Broker
155 Skyview Ranch Way NE #6212,319000,CA  AB T3N 0L1,Skyview Ranch,2,2,850,The Real Estate Company
27 Somerset Square SW,699000,CA  AB T2Y3C7,Somerset,4,3.5,1785,First Place Realty
4325 19 Ave NW,578875,CA  AB T3B 0R6,Montgomery,4,2,810,Real Broker
544 Blackthorn Rd NE #1302,335000,CA  AB T2K 5J5,Thorncliffe,2,2,948,Bow Realty
136 Sherwood Crescent NW,839900,CA  AB T3R 0G3,Sherwood,4,3.5,2215,First Place Realty
2634 5 Ave NW,1389000,CA  AB T2N 0T6,West Hillhurst,4,3.5,1952,RE/MAX House Of Real Estate
3923 74 St NW,809000,CA  AB T3B 2M5,Bowness,4,3.5,1786,Real Broker
917 18 Ave NW,575000,CA  AB T2M0V5,Mount Pleasant,2,1,920,Real Broker
181 Hotchkiss Way SE,615000,CA  AB T3S0G2,Hotchkiss,3,2.5,1846,Royal Lepage Metro
1410 2 St SW #407,320000,CA  AB T2R 1R1,Beltline,2,2,832,Real Estate Professionals Inc.
5311 Lakeview Dr SW,699900,CA  AB T3E 5S1,Lakeview,4,1.5,1273,RE/MAX House Of Real Estate
30 Brentwood Common NW #1013,499999,CA  AB T2L 2L8,Brentwood,2,2,753,Exp Realty
7 Westpark Common SW #208,423000,CA  AB T3H 0Y4,West Springs,2,2.5,1184,Cir Realty
2330 Fish Creek Blvd SW #1346,859900,CA  AB T2Y 0L1,Evergreen,2,2,1367,RE/MAX Irealty Innovations
13104 Elbow Dr SW #1004,300000,CA  AB T2W 2P2,Canyon Creek Heights,3,1,1017,Royal Lepage Solutions
155 Saddlemead Green NE,569900,CA  AB T3J4M8,Saddle Ridge,3,2,1034,Urban-Realty.Ca
225 11 Ave SE #1909,330000,CA  AB T2G 0G3,Beltline,1,1,549,Coldwell Banker Mountain Central
2711 18 St NW,1015000,CA  AB T2M 3T9,Capitol Hill,4,3.5,1767,RE/MAX House Of Real Estate
222 Hidden Spring Mews NW,599000,CA  AB T3A 5N3,Hidden Valley,2,3.5,1294,RE/MAX Irealty Innovations
25 Homestead Crescent NE,649900,CA  AB T3J 2G9,Homestead,6,3.5,1992,Cir Realty
2031A 50 Ave SW,1289000,CA  AB T2T 2W4,North Glenmore Park,5,3.5,2357,Exp Realty
2031B 50 Ave SW,1284000,CA  AB T2T 2W4,North Glenmore Park,5,3,2343,Exp Realty
154 Saddlecrest Grove,875000,CA  AB T3J 2K4,Saddle Ridge,4,4,2651,RE/MAX Real Estate (Central)
258 Cityscape Gardens NE,589000,CA  AB T3N0M5,Cityscape,3,2.5,1480,RE/MAX House Of Real Estate
50 Woodpark Circle SW,749900,CA  AB T2W 6E8,Woodlands,4,3.5,2332,RE/MAX Real Estate (Mountain View)
191 Evansglen Circle NW,849990,CA  AB T3P0W8,Evanston,4,2.5,2556,Real Estate Professionals Inc.
27 Oakmount Place SW,1049000,CA  AB T2V4Y2,Oakridge,4,2.5,2734,Royal Lepage Benchmark
43 Country Village Ln NE #2113,215000,CA  AB T3K 0G2,Country Hills Village,1,1,570,Cir Realty
270 Copperpond Landing SE,419900,CA  AB T2Z 1G6,Copperfield,3,2.5,1229,Listed by Le Steele
115 Yorkville Rd SW,709900,CA  AB T2X 0R4,Yorkville,3,2.5,1913,Ymk Real Estate & Management Inc.
68 Marquis View SE,1322800,CA  AB T3M 2H3,Mahogany,4,3.5,2901,The Real Estate Company
10 Auburn Bay Ave SE #513,449900,CA  AB T3M 0P8,Chesapeake,2,2,1249,Engel & Volkers CA
408 Chaparral Valley Way SE,725000,CA  AB T2X0W1,Chaparral,4,3.5,1946,Cir Realty
57 Walden Common SE,399900,CA  AB T2X 4C4,Walden,2,2.5,1229,Cir Realty
88 9 St NE #103,729900,CA  AB T2E 4E1,Bridgeland/Riverside,2,2,1227,Charles
1606 42 St SW,999000,CA  AB T3C 1Z5,Rosscarrock,4,3.5,2255,Cir Realty
3115 Lake Fraser Green SE #....,525000,CA  AB T2J 7H6,Lake Bonavista,2,2,1211,Royal Lepage Solutions
916 41 St SE,375000,CA  AB T2A 1K5,Forest Lawn,2,2,750,Cir Realty
1087 2 Ave NW #307,239900,CA  AB T2N 5B2,Sunnyside,1,1,426,Greater Property Group
117 Cougartown Circle SW,710000,CA  AB T3H 0A4,Cougar Ridge,4,3.5,1803,Cir Realty
1824 New Brighton Dr SE,525000,CA  AB T2Z 0J7,New Brighton,4,3.5,1890,Exa Realty
1112 Lake Sundance Crescent SE,819900,CA  AB T2J2S8,Lake Bonavista,4,3,1288,Real Estate Professionals Inc.
74 Kinlea Way NW,719000,CA  AB T3R 0C5,Kincora,3,2.5,2134,Charles
157 Walden Park SE,659000,CA  AB T2X 0Z1,Walden,3,2.5,2010,Charles
1066 Creekside Blvd SW,580900,CA  AB T2X5K6,,1,1.5,964,Maxwell Canyon Creek
211 13 Ave SE #3205,799000,CA  AB T2G 1E1,Beltline,2,2,1319,Charles
920 Crescent Blvd SW,2498000,CA  AB T2S 1L5,Britannia,4,5,4226,Real Estate Professionals Inc.
168 Cranford Walk SE,429900,CA  AB T3M 1R6,Mosaic Cranston,2,2,1134,2% Realty
923 15 Ave SW #302,369900,CA  AB T2R 0S2,Beltline,2,2,1010,Century 21 Bamber Realty Ltd.
143 Parkview Way SE,894900,CA  AB T2J 4N3,Parkland,4,3.5,1837,2% Realty
205 Chaparral Valley Dr SE,499000,CA  AB T2X 0L9,Chaparral,4,2.5,1425,RE/MAX House Of Real Estate
2422 30 Ave SW,1249900,CA  AB T2T 1R9,Richmond,4,3.5,2080,Exp Realty
1319 8 Ave NE,799000,CA  AB T2E 0P2,Renfrew,4,3,1358,Real Broker
1315 8 Ave NE,699000,CA  AB T2E 0P2,Renfrew,4,2,1059,Real Broker
130 Somerset Way SW,599900,CA  AB T2Y3K3,Somerset,4,2.5,1815,Stonemere Real Estate Solutions
315 Cougarstone Circle SW,782000,CA  AB T3H 4W4,Cougar Ridge,3,2.5,2129,RE/MAX Real Estate (Central)
43 Gateway Dr SW,885000,CA  AB T3E 4J8,Glendale,4,2,1289,RE/MAX Irealty Innovations
9800 Horton Rd SW #706,215000,CA  AB T2V 5B5,Haysboro,1,1,700,Cir Realty
228 26 Ave SW #503,2050000,CA  AB T2S 3C6,Mission,2,2,2347,RE/MAX Realty Professionals
4203 4 St NW,579900,CA  AB T2K 1A3,Highwood,5,2,926,RE/MAX Real Estate (Central)
70 Mayfair Rd SW,798000,CA  AB T2V 1Y9,Meadowlark Park,3,4,1188,Listed by Seamus Logue
27 Woodgrove Crescent SW,840000,CA  AB T2W 3Y9,Woodlands,5,3.5,2352,Maxwell Capital Realty
3235 Boulton Rd NW,675000,CA  AB T2L 1M2,Brentwood,4,1.5,1257,Listed by Jamie Newton
17 Martinvalley Place NE,599000,CA  AB T3J 4A2,Martindale,5,3,1003,Insta Realty
901 10 Ave SW #2003,319900,CA  AB T2R 0B5,Beltline,1,1,534,RE/MAX Landan Real Estate
811 Willow Park Dr SE,839900,CA  AB T2J 0L9,Willow Park,1,1.5,2132,Real Estate Professionals Inc.
33 Rockhaven Green NW,949999,CA  AB T3G 0C5,Rocky Ridge,3,2.5,1465,Stratten Gates Real Estate Ltd.
1712 38 St SE #209,179900,CA  AB T2A 1H1,Forest Lawn,2,1,815,Grand Realty
3911 1 St NE #8,170000,CA  AB T2E 3E2,Highland Park,2,1,709,RE/MAX Key
989 Ranchview Crescent NW,699000,CA  AB T3G 1H8,Ranchlands,5,4,1774,Exp Realty
2200 Marda Link SW #344,670000,CA  AB T2T 6C6,Garrison Woods,2,2.5,1552,Sotheby's International Realty Canada
1919 36 St SW #304,220000,CA  AB T3E 2Y8,Killarney/Glengarry,2,1,747,First Place Realty
302 Skyview Ranch Dr NE #6215,324900,CA  AB T3N 0P5,Skyview Ranch,2,2,882,2% Realty
19 Arbour Crescent SE,550000,CA  AB T2J 0X5,Acadia,3,1.5,1068,Maxwell Canyon Creek
4908 Bowness Rd NW,520000,CA  AB T3B 0B8,Montgomery,1,1,749,Power Properties
133 25 Ave SW #7D,359000,CA  AB T2S 0K8,Mission,2,2,1208,RE/MAX Realty Professionals
14 Edgevalley View NW,899900,CA  AB T3A 5N9,Edgemont,2,2.5,1565,Royal Lepage Benchmark
30 Walgrove #316,299900,CA  AB T2X 4M9,Walden,2,1,602,Ally Realty
125 Saddlecreek Point NE,599900,CA  AB T3J4V4,Saddle Ridge,4,2.5,1416,Urban-Realty.Ca
6982 Christie Estate Blvd SW,890000,CA  AB T3H2S4,Christie Park,5,3.5,2117,Grand Realty
17 Tremblant Terrace SW,1049900,CA  AB T3H 0B7,Springbank Hill,4,3.5,2463,Grand Realty
103 Wentworth Ct SW,1885000,CA  AB T3H 0E2,West Springs,5,4.5,2589,RE/MAX Real Estate (Central)
341 Walcrest View SE,820000,CA  AB T2X 4V9,Walden,5,3.5,2235,
54 Saratoga Close NE,584900,CA  AB T1Y 7A2,Monterey Park,5,3,2047,Ismart Realty
3536 Benton Dr NW,699000,CA  AB T2L1W8,Brentwood,4,3,1485,Cir Realty
56 Coulee Crescent SW,1215000,CA  AB T3H 4C2,Cougar Ridge,4,3.5,2657,Exp Realty
58 West Point Mews SW,1480000,CA  AB T3H 0X5,West Springs,5,3.5,2911,RE/MAX Irealty Innovations
187 Cranbrook Circle SE,1349000,CA  AB T3M 2J5,Cranston,5,4.5,2758,Real Estate Professionals Inc.
203 Lynnview Rd SE #106S,334900,CA  AB T2C2C6,Riverside Gate,3,1.5,1008,Cir Realty
367 Coach Ridge Rise SW,684900,CA  AB T3H 1E9,Coach Hill,3,2.5,1751,Maxwell Capital Realty
20 Seton Park SE #316,294888,CA  AB T3M 2V4,Seton,2,1,588,Royal Lepage Solutions
3712 58 Ave SW,629900,CA  AB T3E 5H6,Lakeview,4,2,1086,RE/MAX Real Estate (Central)
49 Elgin Gardens SE,398000,CA  AB T2Z 4T4,Mosaic Of Elgin Hill,3,1.5,1165,RE/MAX Realty Professionals
41 7 St NE #204,309000,CA  AB T2E5A1,Bridgeland/Riverside,2,2,830,Legacy Real Estate Services
100 Walgrove Ct SE #5106,435000,CA  AB T2X4N1,Walden,2,2,1161,Cir Realty
215 Legacy Blvd SE #2414,277000,CA  AB T2X3Z5,Legacy,2,1,621,Exp Realty
12011 Brae Rd SW,630000,CA  AB T2W 2V4,Braeside,4,2.5,1303,Royal Lepage Solutions
108 Copperpond Rise SE,499000,CA  AB T2Z 1J7,Copperfield,3,2.5,1292,Charles
8 Strathearn Rise SW,659900,CA  AB T3H 1R6,Strathcona Park,3,3.5,1663,Real Broker
155 Skyview Ranch Way NE #1103,199999,CA  AB T3N 0L1,Skyview Ranch,1,1,569,Exp Realty
4514 Fordham Crescent SE,525000,CA  AB T2A 2A3,Forest Heights,4,2,1064,Plintz Real Estate
928 Coventry Dr NE,589000,CA  AB T3K 4G2,Coventry Hills,3,3.5,1417,Real Broker
1608 2 St NW,569000,CA  AB T2M 2W3,Crescent Heights,4,2.5,1056,Cir Realty
1816 27 Ave SW,549900,CA  AB T2T 1H1,South CA,2,2,630,Creekside Realty
35 Saddleland Way NE,949900,CA  AB T3J 5K7,Saddle Ridge,6,3.5,2376,Exp Realty
2048 41 Ave SW,750000,CA  AB T2T 2M1,Altadore,4,2,864,Listed by Ryan Jacques
58 Copperstone Villas SE,418000,CA  AB T2Z 5E3,Copperfield Chalet,2,2.5,1576,RE/MAX Realty Professionals
135 30 Ave NW,664950,CA  AB T2M2N1,Tuxedo Park,4,3.5,1930,Cir Realty
36 Arbour Ridge Place NW,649900,CA  AB T3G 3Z1,Arbour Lake,4,3.5,1536,RE/MAX Real Estate (Central)
8505 Broadcast Ave SW #209,599900,CA  AB T3H 6B5,West Springs,2,2.5,1001,Manor Hill Realty Yyc Inc.
2016 42 Ave SW,925000,CA  AB T2T 2M7,Altadore,4,3.5,1837,RE/MAX Landan Real Estate
236 31 Ave NE,699000,CA  AB T2E 2E9,Tuxedo Park,2,1,1017,Grand Realty
63 Tarington Rd NE,549000,CA  AB T3J 3X1,Taradale,4,3.5,1398,RE/MAX House Of Real Estate
215 Rundlecairn Rd NE,464990,CA  AB T1Y 2X8,Rundle,3,2,950,Cir Realty
33 Douglasbank Way SE,629900,CA  AB T2Z 1W7,Douglasdale/Glen,3,2.5,2119,Listed by Heather Davis
32 Legacy Reach View SE,500000,CA  AB T2X 4T6,Legacy,3,2.5,1506,RE/MAX Landan Real Estate
124 Saddlecrest Blvd NE,689900,CA  AB T3J 5E9,Saddle Ridge,4,2.5,1668,Exp Realty
615 6 Ave SE #2302,682500,CA  AB T2G1S7,Downtown East Village,2,2,1073,Real Broker
2407 32 St SW,999900,CA  AB T3E 2R6,Killarney/Glengarry,4,3.5,1933,First Place Realty
130 Copperstone Grove SE,514900,CA  AB T2Z 4X8,Copperfield,4,3,1167,RE/MAX Realty Professionals
148 Christie Park View SW,1295000,CA  AB T3H 2Z5,Christie Park,5,3,1666,Royal Lepage Benchmark
8531 8A Ave SW #214,425000,CA  AB T3H 1V4,West Springs,2,2,945,RE/MAX House Of Real Estate
58 Evansbrooke Way NW,649900,CA  AB T3P 1C7,Evanston,4,2.5,1947,Cir Realty
3437 42 St NW #163,539900,CA  AB T3A 2M7,Landmark Estates,2,2.5,1686,Century 21 Bamber Realty Ltd.
1087 2 Ave NW #308,255000,CA  AB T2N 5B2,Sunnyside,1,1,424,Exp Realty
5401 54 St NE,349000,CA  AB T3J 1C5,Falconridge,3,1.5,1022,Cir Realty
413 Silverado Ranch Manor SW,1799000,CA  AB T2X 0V2,Silverado,3,2.5,3488,Homecare Realty Ltd.
4119 46 Ave SW,499900,CA  AB T3E 1H6,Glamorgan,4,2,2210,RE/MAX Landan Real Estate
302 Skyview Ranch Dr NE #4316,329000,CA  AB T3N0P5,Skyview Ranch,2,2,848,RE/MAX Landan Real Estate
723 57 Ave SW #105,199000,CA  AB T2V 4Z3,Windsor Park,1,1,615,RE/MAX Real Estate (Central)
437 Auburn Bay Dr SE,695000,CA  AB T3M 0M7,Auburn Bay,3,2.5,2128,Century 21 Bravo Realty
1735 11 Ave SW #109,249000,CA  AB T3C 3S9,Sunalta,2,1,807,Charles
4295 8 Ave SW,799000,CA  AB T3C 0G6,Rosscarrock,3,3.5,1612,Cir Realty
5011 21A St SW,1199000,CA  AB T2T 5C4,Altadore,4,3.5,2006,RE/MAX House Of Real Estate
60 34 Ave SW #2,649900,CA  AB T2S2Z1,Erlton,2,3.5,1309,Exp Realty
26 Bridlecreek Park SW,649900,CA  AB T2Y3N6,Bridlewood,4,2.5,2158,Paramount Real Estate Corporation
91 Woodborough Crescent SW,550000,CA  AB T2W5A1,Woodbine,4,2,1141,Paramount Real Estate Corporation
215 Village Terrace SW #1,269900,CA  AB T3H 2L4,Patterson,2,2,819,Paramount Real Estate Corporation
87 Aspen Hills Dr SW,425000,CA  AB T3H 0P8,Zen In Aspen,2,2.5,1044,RE/MAX Complete Realty
50 Cornerstone Passage NE #406,445000,CA  AB T3N 2G1,Cornerstone,4,2.5,1483,Real Estate Professionals Inc.
46 Evansfield Park NW,849900,CA  AB T3P 0B1,Evanston,4,3.5,2478,Royal Lepage Benchmark
6203 Lakeview Dr SW,699800,CA  AB T3E 5S9,Lakeview,2,2,1136,RE/MAX Realty Professionals
208 Sceptre Ct NW,819000,CA  AB T3L 1y1,Scenic Acres,3,3.5,1974,Royal Lepage Solutions
70 Royal Oak Plaza NW #305,245900,CA  AB T3G 0C6,Royal Oak,1,1,606,Unison Realty Group Ltd.
907 Evanston Square NW,425000,CA  AB T3P 0G9,Evanston Square,3,2.5,1136,Real Broker
15 Wheatland Ave SW,849900,CA  AB T3C 2X1,Westgate,4,3,1360,Century 21 Bamber Realty Ltd.
8 Bridlecrest Dr SW #2426,289900,CA  AB T2Y 0H7,Bridlewood,2,1,755,Real Estate Professionals Inc.
3240 66 Ave SW #1305,524500,CA  AB T3E 6M5,Lakeview Green 3,2,2.5,1655,Exp Realty
410 Seton Passage SE #3111,475000,CA  AB T3M 3T9,Seton,3,2.5,1121,Century 21 Bamber Realty Ltd.
928 2 Ave NE,479900,CA  AB T2E 0G5,Bridgeland/Riverside,2,1,873,Real Estate Professionals Inc.
121 Silverado Ponds Way SW,799900,CA  AB T2X 0B7,Silverado,3,2.5,2543,Homecare Realty Ltd.
165 Manora Place NE #242,220000,CA  AB T2A 7X5,Marlborough Park,2,2,888,Cir Realty
848 Mckenzie Dr SE,699000,CA  AB T2X 1W2,Mckenzie Lake,4,2.5,1799,Purpose Realty
324 Tuscany Valley View NW,688000,CA  AB T3L 2L1,Tuscany,3,2.5,1809,Grand Realty
13104 Elbow Dr SW #602,249900,CA  AB T2W2P2,Canyon Creek Heights,2,1,830,Listed by Christopher Lofgren
210 20 Ave NW,450000,CA  AB T2M 1C2,Tuxedo Park,3,2,833,Exp Realty
1620 Crescent Rd NW,744000,CA  AB T2M 4B2,Rosedale,3,2,981,Royal Lepage Benchmark
2022 Canyon Meadows Dr SE #308,289900,CA  AB T2J 7H1,Queensland,2,2,893,Cir Realty
11 Mahogany Row SE #1210,395000,CA  AB T3M 2L6,Mahogany,2,2,938,RE/MAX Realty Professionals
90 Tuscany Ridge Heights NW,675000,CA  AB T3L3C1,Tuscany,4,3,1185,Century 21 Bamber Realty Ltd.
505 19 Ave SW #503,219000,CA  AB T2S 0E4,Cliff Bungalow,1,1,503,Exp Realty
160 Erin Croft Crescent SE,500000,CA  AB T2B 2V1,Erin Woods,4,2,914,Exp Realty
47 Rundlelawn Ct NE,419000,CA  AB T2Y3H3,Rundle,4,2,868,Grand Realty
202 Point Mckay Terrace NW,525000,CA  AB T3B 4V6,Point Mckay,3,2.5,1419,RE/MAX Real Estate (Central)
218 Costa Mesa Close NE,549900,CA  AB T1Y 6W8,Monterey Park,4,3.5,1371,Exp Realty
28 Skyview Springs Crescent NE,729900,CA  AB T3N 0C1,Skyview Ranch,3,3.5,2105,RE/MAX Real Estate (Central)
124 Nolan Hill Heights NW,499900,CA  AB T3R0S5,Nolan Hill,3,2.5,1551,RE/MAX Real Estate (Mountain View)
1606 34 Ave SW #4,374900,CA  AB T2T 2B4,South CA,2,1.5,1076,RE/MAX Real Estate (Central)
155 Wolf Willow Ave SE,550000,CA  AB T2X4V1,Wolf Willow,3,2.5,1313,Real Broker
2210 Oakmoor Dr SW #31,400000,CA  AB T2V 4R4,Oakmoor Village,3,2.5,1235,Real Broker
210 15 Ave SE #2105,399900,CA  AB T2G 0B5,Beltline,2,2,845,The Home Hunters Real Estate Group Ltd.
256 Whiteridge Place NE,350000,CA  AB T1Y 4K3,Whitehorn,3,2,1013,Maxwell Canyon Creek
4769 Hubalta Rd SE #1,299900,CA  AB T2B 2N9,Century Manor,3,1.5,980,Cir Realty
11 Somerglen Crescent SW,725000,CA  AB T2Y 3L6,Somerset,4,2.5,1811,RE/MAX House Of Real Estate
70 Panamount Dr NW #5206,307000,CA  AB T3K 5Z1,Panorama Hills,2,2,940,Century 21 Argos Realty
